Id,Name,HasLegacyCP
2733870DUS,St. Peter Public School District,
2738160DUS,Stewartville Public School District,
2742270DUS,West St. Paul-Mendota Hts.-Eagan / ISD 197,
2742360DUS,White Bear Lake Area Schools,
2800750DUS,Cleveland School Dist,
2801200DUS,Columbus Municipal School Dist,1
2803060DUS,Neshoba County School District,1
2803450DUS,Oxford School District,
2904620DUS,Belton School District #124,
2908250DUS,Center School District,1
2912300DUS,Fox C-6,1
2916290DUS,Jennings School District,
2916400DUS,Kansas City Public Schools,1
2916770DUS,Kirkwood R-vii,
2918300DUS,Lee's Summit R-7 School District,1
2918540DUS,Liberty Public Schools,
2922530DUS,Nixa Public Schools,1
2923430DUS,Ozark R-VI School District,1
2923550DUS,Park Hill School District,1
2923580DUS,Parkway School District,
2923700DUS,Pattonville R-iii,1
2923730DUS,Raymore-Peculiar School District,1
2926160DUS,Reeds Spring R-iv,1
2926220DUS,Republic R-iii,1
2926890DUS,Rolla 31,1
2927570DUS,Savannah R-iii,1
2929100DUS,St. Clair R-XIII School District,1
2930450DUS,Lincoln County R-III School District,1
2930520DUS,Twin Rivers R-x,1
2930570DUS,Union R-XI School District,1
3003330DUS,Belgrade H S,
3007930DUS,Custer County H S,
3100016DUS,Grand Island Public Schools,1
3100021DUS,Waverly School District 145,
3103810DUS,Bellevue Public Schools,
3170110DUS,Elkhorn Public Schools,
3170140DUS,Elm Creek Public Schools,1
3172390DUS,Kearney Public Schools,
3173740DUS,Millard Public Schools,
3174820DUS,Omaha Public Schools,
3175270DUS,Papillion-La Vista School District,1
3175900DUS,Ralston Public Schools,
3180010DUS,Educational Service Unit 01,
3180020DUS,Educational Service Unit 02,
3300017DUS,Exeter Region Cooperative School District,
3301860DUS,Berlin School District,
3301950DUS,Bow School District,
3302340DUS,Claremont School District,
3302990DUS,Fall Mountain Regional School District,
3303090DUS,Franklin School District,
3303240DUS,Goffstown School District,
3304140DUS,Laconia School District,1
3304290DUS,Lisbon Regional School District,
3304980DUS,Nashua School District,
3305880DUS,Raymond School District,1
3306080DUS,Sanborn Regional School District,
3306540DUS,Sunapee School District,
3307050DUS,White Mountains Regional School District,
3400690DUS,Alexandria Township,
3400930DUS,Asbury Park,
3401260DUS,Bayonne,1
3401470DUS,Bergen County Technical Schools,
3402030DUS,Bordentown Regional School District,
3402400DUS,Buena Regional,
3402490DUS,Burlington County Institute of Technology,1
3402640DUS,Camden City School District,
3402820DUS,Carteret Borough,
3403150DUS,Clark Township,
3403270DUS,Cliffside Park,
3403750DUS,Delaware Valley Regional,
3403900DUS,Deptford Township,
3403990DUS,Dumont,
3404110DUS,East Brunswick Township,
3404230DUS,East Orange School District,
3404320DUS,East Windsor Regional Schools,1
3404500DUS,Edison Township,
3404590DUS,Elizabeth Public Schools,
3404660DUS,Elmwood Park Public Schools,
3404740DUS,Englewood City,
3404800DUS,Essex County Schools of Technology,
3404920DUS,Ewing Township,
3405490DUS,Franklin Township,
3405610DUS,Freehold Regional High School District,
3406060DUS,Greater Egg Harbor Regional High School District,
3406390DUS,Haddonfield Borough,
3406540DUS,Hamilton Township,
3407570DUS,Hudson County Schools of Technology,
3407680DUS,Irvington Board of Education,
3407740DUS,Jackson Township Public Schools,
3407800DUS,Jefferson Township Public Schools,
3407830DUS,Jersey City,
3407860DUS,Keansburg Borough,
3407980DUS,Kingsway Regional School District,
3408100DUS,Lacey Township,
3408490DUS,Lenape Regional High School District,
3408640DUS,Lindenwold Borough,
3408820DUS,Livingston Township,
3409060DUS,Pine Hill School District,
3409090DUS,Lower Cape May Regional,
3409210DUS,Lyndhurst Township,
3409420DUS,Manasquan,
3409750DUS,Matawan-aberdeen Regional,
3409990DUS,Metuchen,
3410020DUS,Middle Township,
3410050DUS,Middlesex Borough,
3410080DUS,Middlesex County Vocation,
3410110DUS,Middletown Township,
3410470DUS,Monroe Township,
3410500DUS,Monroe Township,
3410590DUS,Montgomery Township Board of Education,
3410650DUS,Montville Township,
3410740DUS,Morris Hills Regional District,
3410810DUS,Morris School District,
3411310DUS,New Providence,
3411340DUS,Newark Public Schools,
3411640DUS,North Plainfield Borough,
3411700DUS,Northern Burlington Count,
3411880DUS,Nutley,
3411970DUS,Ocean City,
3411980DUS,Ocean County Vocational Technical Schools,
3412060DUS,Ocean Township,
3412260DUS,River Dell Regional School District,
3412480DUS,Parsippany-Troy Hills School District,
3412510DUS,Pascack Valley Regional High School District,
3412540DUS,Passaic City,
3412690DUS,Paterson Public Schools,
3412810DUS,Pemberton Township,1
3412840DUS,Penns Grove-Carneys Point,
3412930DUS,Perth Amboy,
3413050DUS,Piscataway Township,
3413110DUS,Pittsgrove Township,
3413230DUS,Plumsted Township,
3413410DUS,Princeton Regional,
3413560DUS,Ramapo Indian Hills Regional High School District,
3413770DUS,Ridgefield,
3413800DUS,Ridgefield Park,
3414460DUS,Rutherford,
3414550DUS,Salem City,1
3414640DUS,Sayreville,
3414850DUS,Secaucus,
3415060DUS,Somerset County Vocational & Technical Schools,
3415120DUS,South Amboy,
3415390DUS,South River,1
3416080DUS,Teaneck,1
3416290DUS,Trenton,
3416380DUS,Union City,
3416470DUS,Barnegat Township,
3416500DUS,Union Township,
3416970DUS,Warren Hills Regional Hig,
3417070DUS,Washington Township,
3417100DUS,Washington Township,
3417280DUS,Wayne Township,
3417460DUS,West Essex Regional,
3417500DUS,Monmouth County Vocational School District,
3417520DUS,West Milford Township,
3417610DUS,West Orange,1
3417700DUS,West Windsor-Plainsboro Regional School District,
3418000DUS,Willingboro Public Schools,
3418040DUS,Union County Vocational Technical Schools,
3500010DUS,Rio Rancho Public Schools,1
3500060DUS,Albuquerque Public Schools,1
3500390DUS,Central Consolidated Schools,
3500540DUS,Cloudcroft Municipal Schools,
3500990DUS,Farmington Municipal Schools,
3501680DUS,Los Lunas Public Schools,1
3501890DUS,Moriarty-Edgewood School District,1
3502250DUS,Roswell Independent Schools,
3502370DUS,Santa Fe Public Schools,
3600005DUS,Broadalbin-Perth Central School District,
3600008DUS,South Country Central School District,
3600010DUS,Cobleskill-Richmondville Central School District,
3600013DUS,Oneida City School District,
3600016DUS,Averill Park Central Schools,
3600021DUS,Mattituck-cutchogue Union Free School District,
3602430DUS,Akron Central School District,
3602460DUS,Albany City School District,
3602520DUS,Albion Central School District,
3602730DUS,Windsor Central School District,
3602940DUS,Amityville Union Free School District,
3602970DUS,Amsterdam City School District,
3603660DUS,Avon Central School District,
3603930DUS,Ballston Spa Central School District,
3604080DUS,Bay Shore Union Free School District,1
3604110DUS,Bayport-blue Point Union Free School District,
3604140DUS,Beacon City School District,
3604710DUS,Bethlehem Central School District,
3604740DUS,Bethpage Union Free School District,
3604870DUS,Binghamton City School District,
3605280DUS,Brentwood Union Free School District,
3605460DUS,Brighton Central School District,1
3605580DUS,Brockport Central School District,
3605850DUS,Buffalo Public Schools,1
3605940DUS,Burnt Hills-Ballston Lake Central School District,
3606060DUS,Byram Hills Central School District,
3606300DUS,Canajoharie Central School District,
3606330DUS,Canandaigua City School District,1
3606470DUS,Canton Central School District,
3606500DUS,Spackenkill Union Free School District,
3606540DUS,Carle Place Union Free School District,
3606690DUS,Cato-Meridian Central School District,
3606720DUS,Catskill Central School District,
3606780DUS,Cazenovia Central School District,
3607080DUS,Chateaugay Central School District,
3607530DUS,Churchville-chili Central School District,
3607980DUS,Cohoes City School District,
3608010DUS,Cold Spring Harbor Central School District,
3608130DUS,Commack Union Free School District,
3608160DUS,Connetquot Central School District,
3608340DUS,Pembroke Central School District,
3608400DUS,Corning City School District,
3608460DUS,Cortland City School District,
3608580DUS,Croton-harmon Union Free School District,
3608880DUS,Deer Park Union Free School District,
3609120DUS,Dobbs Ferry Union Free School District,
3609330DUS,Dryden Central School District,
3609690DUS,East Irondequoit Central School District,
3609720DUS,East Islip Union Free School District,
3609840DUS,East Meadow School District,
3610590DUS,Elmira Heights Central School District,
3610680DUS,Elwood Union Free School District,
3610860DUS,Fabius-pompey Central School District,
3610980DUS,Farmingdale Union Free School District,
3611190DUS,Fonda-Fultonville Central School District,
3611550DUS,Freeport Union Free School District,
3611670DUS,Frontier Central School District,
3611700DUS,Fulton City School District,
3611740DUS,Gananda Central School District,
3611760DUS,Garden City Union Free School District,
3611880DUS,Gates-chili Central School District,
3612180DUS,Glen Cove City School District,
3612270DUS,Gloversville City School District,
3612630DUS,Greece Central School District,
3613290DUS,Half Hollow Hills Central School District,
3613530DUS,Hampton Bays Union Free School District,
3613980DUS,Hauppauge Union Free School District,
3614190DUS,Hendrick Hudson Central School District,
3614280DUS,Herricks Union Free School District,
3614340DUS,Hicksville Union Free School District,
3614430DUS,Highland Falls Central School District,
3614460DUS,Hilton Central School District,
3614580DUS,Holland Patent Central School District,
3614640DUS,Homer Central School District,
3614700DUS,Honeoye Falls-lima Central School District,
3614850DUS,Horseheads Central School District,
3615090DUS,Huntington Union Free School District,
3615180DUS,Hyde Park Central School District,
3615390DUS,West Irondequoit Central School District,
3615450DUS,Irvington Union Free School District,
3615480DUS,Island Park Union Free School District,
3615540DUS,Islip Union Free School District,
3615570DUS,Ithaca City School District,
3615810DUS,Jericho Union Free School District,
3615990DUS,Jordan-Elbridge Central School District,
3616230DUS,Kenmore-Tonawanda Union Free School District,1
3616260DUS,Kings Park Central School District,
3616410DUS,LaFayette Central School District,
3616620DUS,Lakeland Central School District,
3616710DUS,Lansing Central School District,
3616830DUS,Lawrence Union Free School District,
3617160DUS,Levittown Public Schools,
3617190DUS,Lewiston-Porter Central School District,
3617380DUS,Lindenhurst Union Free School District,
3617520DUS,Liverpool Central School District,
3617730DUS,Long Beach City School District,
3617940DUS,Lyncourt Union Free School District,
3618120DUS,Mahopac Central School District,
3618180DUS,Malone Central School District,
3618210DUS,Malverne Union Free School District,
3618450DUS,Marathon Central School District,
3618570DUS,Marlboro Central School District,
3618630DUS,Massapequa Union Free School District,
3619020DUS,Bellmore-Merrick Central High School District,
3619170DUS,Mexico Central School District,
3619200DUS,Middle Country Central School District,
3619230DUS,Longwood Central School District,
3619380DUS,Millbrook Central School District,
3619410DUS,Miller Place Union Free School District,
3619560DUS,Minisink Valley Central School District,1
3619650DUS,Monroe-Woodbury Central School District,
3619740DUS,Monticello Central School District,
3620100DUS,Mount Vernon City School District,1
3620190DUS,Nanuet Union Free School District,
3620340DUS,Clarkstown Central School District,
3620370DUS,New Hartford Central School District,
3620460DUS,New Paltz Central School District,
3620490DUS,New Rochelle City School District,1
3620700DUS,Newburgh City School District,
3620880DUS,Niskayuna Central School District,
3620910DUS,North Babylon Union Free School District,
3621000DUS,North Colonie Central School District,
3621120DUS,North Merrick Union Free School District,
3621270DUS,Northport/East Northport Union Free School Distric,
3621480DUS,Nyack Union Free School District,
3621570DUS,Oceanside Union Free School District,
3621810DUS,Onondaga Central School District,
3621840DUS,Onteora Central School District,
3621900DUS,Orchard Park Central School District,
3621960DUS,Oriskany Central School District,
3622050DUS,Oswego City School District,
3622380DUS,Palmyra-macedon Central School District,
3622470DUS,Patchogue-Medford Union Free School District,
3622530DUS,Pawling Central School District,
3622680DUS,Pelham Union Free School District,
3622920DUS,Phoenix Central School District,
3623010DUS,Pine Bush Central School District,
3623160DUS,Pittsford Central School District,
3623310DUS,Pleasantville Union Free School District,
3623460DUS,Port Chester-rye Union Free School District,
3623520DUS,Port Jervis City School District,1
3623670DUS,Potsdam Central School District,
3623760DUS,Poughkeepsie City School District,
3624000DUS,Putnam Valley Central School District,1
3624030DUS,Queensbury Union Free School District,
3624150DUS,Ravena-Coeymans-Selkirk Central School District,
3624480DUS,Rhinebeck Central School District,
3624630DUS,Blind Brook-rye Union Free School District,
3624750DUS,Rochester City School District,
3624780DUS,Rockville Centre Union Free School District,
3624840DUS,Rocky Point Union Free School District,
3625170DUS,Rush-henrietta Central School District,1
3625320DUS,Florida Union Free School District,
3625350DUS,Sachem Central School District,1
3625380DUS,Sag Harbor Union Free School District,
3625650DUS,Sandy Creek Central School District,
3625740DUS,Saranac Lake Central School District,
3625770DUS,Saratoga Springs City School District,
3625920DUS,Sayville Union Free School District,
3626010DUS,Schenectady City School District,
3626370DUS,North Shore Central School District,
3626520DUS,Sewanhaka Central High School District,
3626640DUS,Shelter Island Union Free School District,
3626670DUS,Shenendehowa Central School District,
3626700DUS,Sherburne-earlville Central School District,
3626760DUS,Sherrill City School District,
3626840DUS,Shoreham-wading River Central School District,
3626940DUS,Skaneateles Central School District,
3627060DUS,Smithtown Central School District,
3627150DUS,Solvay Union Free School District,
3627180DUS,Somers Central School District,
3627240DUS,South Glens Falls Central School District,
3627450DUS,South Orangetown Central School District,
3627540DUS,Southampton Union Free School District,
3627570DUS,Southern Cayuga Central School District,
3627750DUS,Spencer-van Etten Central School District,
3627810DUS,East Ramapo Central School District,
3627900DUS,Springs Union Free School District,
3628200DUS,Three Village Central School District,
3628320DUS,Ramapo Central School District,
3628560DUS,Syosset Central School District,
3628590DUS,Syracuse City School District,
3628950DUS,Troy City School District,
3629250DUS,Union Springs Central School District,
3629280DUS,Uniondale Union Free School District,
3629400DUS,Valhalla Union Free School District,
3629520DUS,Valley Stream Central High School District,
3629640DUS,Victor Central School District,
3629670DUS,Voorheesville Central School District,
3629790DUS,Wallkill Central School District,
3629880DUS,Wappingers Central School District,
3629970DUS,Warwick Valley Central School District,
3630120DUS,Watertown City School District,
3630330DUS,Wayne Central School District,
3630360DUS,Webster Central School District,
3630540DUS,West Babylon Union Free School District,
3630630DUS,West Genesee Central School District,
3630690DUS,West Islip Union Free School District,
3630780DUS,West Seneca Central School District,
3630960DUS,Westbury Union Free School District,
3631020DUS,Westhampton Beach Union Free School District,
3631050DUS,Westmoreland Central School District,
3631260DUS,White Plains City School District,
3631710DUS,Hewlett-Woodmere Union Free School District,
3631920DUS,Yonkers Public Schools,
3631980DUS,Yorktown Central School District,
3680580DUS,Onondaga - Cortland - Madison BOCES,
3700030DUS,Alamance-Burlington School System,1
3700180DUS,Anson County Schools,
3700450DUS,Buncombe County Schools,
3700530DUS,Cabarrus County Schools,
3700720DUS,Chapel Hill-carrboro Schools,
3702310DUS,Iredell-Statesville Schools,
3702970DUS,Charlotte-Mecklenburg Schools,
3703120DUS,Mooresville Graded School District,1
3704080DUS,Rutherford County Schools,1
3704620DUS,Union County Public Schools,1
3704950DUS,Wilkes County Schools,1
3800032DUS,Beulah 27,
3904350DUS,Ashland City,
3904353DUS,Barberton City,
3904360DUS,Berea City School District,
3904362DUS,Bexley City,1
3904364DUS,Brecksville-Broadview Heights City,1
3904365DUS,Brooklyn City,
3904366DUS,Brunswick City,
3904375DUS,Cincinnati Public Schools,
3904378DUS,Cleveland Metropolitan School District,1
3904379DUS,Cleveland Heights-University Heights City,
3904380DUS,Columbus City Schools,
3904383DUS,Cuyahoga Falls City,
3904385DUS,Deer Park Community City,
3904390DUS,East Cleveland City,
3904394DUS,Elyria City,
3904400DUS,Franklin City,
3904402DUS,Galion City,
3904404DUS,Garfield Heights City,
3904407DUS,Grandview Heights City,
3904408DUS,Winton Woods City,
3904410DUS,Hamilton City School District,
3904413DUS,Huron City,1
3904416DUS,Kent City,
3904418DUS,Kettering City,
3904421DUS,Lebanon City,
3904426DUS,Lorain City,
3904427DUS,Loveland City,
3904429DUS,Mansfield City,
3904430DUS,Maple Heights City,
3904431DUS,Mariemont City,
3904433DUS,Marion City,
3904437DUS,Mayfield City,
3904440DUS,Middletown City School District,
3904447DUS,New Lexington City,
3904453DUS,North Ridgeville City,
3904457DUS,Norwood City,
3904458DUS,Oakwood City,
3904459DUS,Oberlin City,
3904463DUS,Parma City,
3904464DUS,Piqua City,
3904467DUS,Princeton City Schools,
3904470DUS,Rocky River City,
3904475DUS,Shaker Heights City,
3904479DUS,South Euclid-lyndhurst City,
3904480DUS,South-Western City School District,
3904481DUS,Springfield City School District,
3904483DUS,Stow-munroe Falls City,
3904484DUS,Strongsville City,
3904486DUS,Sycamore Community City,1
3904488DUS,Tallmadge City,
3904489DUS,Tiffin City,
3904490DUS,Toledo Public Schools,1
3904493DUS,Upper Arlington City,
3904495DUS,Vandalia-Butler City,
3904499DUS,Warren City,
3904500DUS,Warrensville Heights City,
3904504DUS,Westerville City School District,
3904506DUS,Westlake City,
3904507DUS,Whitehall City,1
3904508DUS,Wickliffe City,
3904510DUS,Willoughby-Eastlake City Schools,
3904514DUS,Wyoming City,
3904516DUS,Youngstown City,
3904519DUS,Amherst Exempted Village,
3904521DUS,Bluffton Exempted Village,
3904535DUS,Crooksville Exempted Village,
3904536DUS,Fairport Harbor Exempted Village,
3904549DUS,Mentor Public Schools,1
3904550DUS,Milford Exempted Village,
3904551DUS,Milton-Union Exempted Village,
3904558DUS,Perrysburg Exempted Village,
3904560DUS,Rossford Exempted Village,
3904561DUS,Tipp Exempted Village,
3904576DUS,Bath Local,
3904610DUS,Fairfield City School District,1
3904611DUS,Lakota Local Schools,
3904619DUS,Graham Local,
3904632DUS,Clermont Northeastern Local,
3904634DUS,Goshen Local,
3904635DUS,West Clermont Local,
3904657DUS,Olmsted Falls City,
3904675DUS,Buckeye Valley Local,1
3904676DUS,Olentangy Local School District,
3904689DUS,Pickerington Local School District,
3904694DUS,Canal Winchester Local,
3904695DUS,Hamilton Local,
3904696DUS,Gahanna-Jefferson Public Schools,
3904697DUS,Groveport Madison Local,
3904699DUS,New Albany-Plain Local Schools,
3904700DUS,Reynoldsburg City,1
3904701DUS,Hilliard City Schools,
3904702DUS,Dublin City Schools,
3904717DUS,Cardinal Local,
3904718DUS,Chardon Local,
3904719DUS,Kenston Local,1
3904722DUS,West Geauga Local,
3904736DUS,Northwest Local Schools - Cincinnati,
3904738DUS,Southwest Local,
3904739DUS,Three Rivers Local,
3904787DUS,Kirtland Local,
3904788DUS,Madison Local,
3904790DUS,Perry Local,
3904800DUS,Licking Heights Local,1
3904804DUS,Southwest Licking Local,
3904811DUS,Avon Local,
3904812DUS,Avon Lake City,
3904814DUS,Columbia Local,
3904815DUS,Firelands Local,
3904816DUS,Keystone Local School District,
3904817DUS,Midview Local,
3904836DUS,South Range Local,
3904846DUS,Black River Local,
3904848DUS,Cloverleaf Local,
3904849DUS,Highland Local,
3904862DUS,Miami East Local,
3904869DUS,Trotwood-Madison City,
3904879DUS,Cardington-Lincoln Local,
3904905DUS,Northern Local,
3904909DUS,Teays Valley Local,1
3904918DUS,Crestwood Local,
3904921DUS,Rootstown Local,
3904922DUS,Southeast Local,
3904923DUS,Streetsboro City,
3904943DUS,Lexington Local,
3904945DUS,Madison Local,
3904985DUS,Jackson Local,
3904998DUS,Copley-Fairlawn City,
3905001DUS,Green Local,
3905004DUS,Nordonia Hills City,
3905005DUS,Revere Local,
3905016DUS,Howland Local,1
3905028DUS,Indian Valley Local,
3905043DUS,Kings Local,1
3905044DUS,Little Miami Local,
3910009DUS,Shelby City,
3910014DUS,Riverside Local Schools,
3910015DUS,Painesville Local,
3910017DUS,Bedford City,
3910032DUS,Wooster City,
3910033DUS,Northwestern Local,
4003180DUS,Ardmore,
4003630DUS,Bartlesville,1
4005490DUS,Broken Arrow Public Schools,1
4006060DUS,Byng,1
4015720DUS,Jenks,1
4025200DUS,Pryor,
4030240DUS,Tulsa Public Schools,
4030600DUS,Union Public Schools,
4032370DUS,Western Heights,
4100016DUS,Yamhill-Carlton Sd 1,
4100023DUS,Hillsboro School District,1
4101120DUS,Greater Albany Public Sd 8j,
4101230DUS,Amity Sd 4j,
4102840DUS,Central Sd 13j,
4103260DUS,Clatskanie Sd 6j,
4103270DUS,Colton Sd 53,
4103660DUS,Coos Bay Sd 9,
4103720DUS,Crook County School District,1
4104350DUS,North Douglas Sd 22,
4104740DUS,Eugene School District 4J,
4106740DUS,Jefferson County Sd 509j,
4107230DUS,Lake Oswego Sd 7j,
4108100DUS,Santiam Canyon Sd 129j,
4108310DUS,Molalla River Sd 35,
4108550DUS,Mt Angel Sd 91,
4108830DUS,North Clackamas Schools,
4108880DUS,North Marion Sd 15,
4109330DUS,Oregon City Sd 62,
4109600DUS,Philomath Sd 17j,
4110040DUS,Portland Public Schools,
4110350DUS,Redmond Sd 2j,
4110520DUS,Reynolds Sd 7,1
4111040DUS,Scio Sd 95,
4111290DUS,Sherwood Sd 88j,1
4111670DUS,Springfield Public Schools,
4111940DUS,Sutherlin Sd 130,
4112240DUS,Tigard-tualatin Sd 23j,1
4113170DUS,West Linn - Wilsonville Public Schools,
4113530DUS,Woodburn Sd 103,1
4113650DUS,Yoncalla Sd 32,
4200013DUS,Community Academy Of Philadelphia (District),
4202040DUS,Abington School District,
4202400DUS,Wissahickon Sd,
4202590DUS,Armstrong Sd,
4202790DUS,Avon Grove Sd,
4202850DUS,Pine-Richland School District,
4203120DUS,Beaver Area Sd,
4203330DUS,Bensalem Township Sd,
4203420DUS,Berlin Brothersvalley Sd,
4203510DUS,Bethel Park School District,
4203570DUS,Bethlehem Area Sd,
4203660DUS,Big Spring Sd,
4203750DUS,Blairsville-saltsburg Sd,1
4203870DUS,Blue Mountain Sd,
4204140DUS,Brentwood Borough Sd,
4204230DUS,Bristol Township Sd,
4205010DUS,Carlisle Area Sd,
4205190DUS,Centennial School District,
4205310DUS,Central Bucks School District,
4205370DUS,Central Columbia Sd,
4205400DUS,Central Dauphin Sd,
4205700DUS,Chartiers Valley Sd,
4205760DUS,Cheltenham Township Sd,
4205860DUS,Chester Upland School District,
4205910DUS,Chichester Sd,
4207110DUS,Cumberland Valley School District,
4207230DUS,Dallastown Area Sd,1
4207290DUS,Daniel Boone Area Sd,
4207530DUS,Delaware Valley School District,
4207710DUS,Downingtown Area Sd,
4208460DUS,Eastern Lebanon County Sd,
4208820DUS,Eastern Lancaster County Sd,
4209300DUS,Erie City Sd,
4209480DUS,Exeter Township Sd,
4209570DUS,Fairview Sd,
4209780DUS,Fleetwood Area Sd,
4209940DUS,Forest Hills School District,
4210070DUS,Fox Chapel Area Sd,
4210380DUS,Freedom Area School District,
4210590DUS,Garnet Valley Sd,
4210650DUS,General Mclane Sd,
4210860DUS,Governor Mifflin Sd,
4210870DUS,Great Valley Sd,
4211400DUS,Hampton Township Sd,
4211450DUS,Hanover Public Sd,
4211670DUS,Haverford Township Sd,
4211730DUS,Saucon Valley Sd,
4211790DUS,Hempfield  Sd,
4212170DUS,Interboro Sd,
4212690DUS,Kennett Consolidated Sd,
4213050DUS,Lakeland Sd,
4213440DUS,Lebanon Sd,
4214100DUS,Lower Dauphin School District,
4214160DUS,Lower Merion School District,
4214190DUS,Lower Moreland Township Sd,
4214250DUS,Methacton Sd,
4214760DUS,Marple Newtown Sd,
4214790DUS,Mars Area Sd,
4215210DUS,Midd-west Sd,
4215240DUS,Middletown Area School District,
4215330DUS,Millcreek Township Sd,
4215720DUS,Montour Sd,
4215830DUS,Moon Area Sd,
4215900DUS,Morrisville Borough Sd,
4216050DUS,Mountain View Sd,
4216110DUS,Mt Lebanon Sd,
4216410DUS,Neshaminy Sd,
4216500DUS,Woodland Hills School District,
4216860DUS,New Hope-solebury Sd,
4216890DUS,Newport School Distric,
4216980DUS,Norristown Area Sd,
4217010DUS,North Allegheny Sd,
4217280DUS,North Penn Sd,1
4217850DUS,Northwestern Lehigh Sd,
4218030DUS,Octorara Area Sd,
4218150DUS,Oley Valley Sd,
4218270DUS,Owen J Roberts Sd,
4218330DUS,Palisades Sd,
4218390DUS,Palmyra Area Sd,
4218580DUS,Penn-delco Sd,
4218750DUS,Pennridge Sd,
4218840DUS,Pennsbury Sd,
4218960DUS,Peters Township Sd,
4218990DUS,The School District of Philadelphia,
4219050DUS,Phoenixville Area Sd,
4219140DUS,Pine Grove Area Sd,
4219170DUS,Pittsburgh Public Schools,
4219350DUS,Plum Borough Sd,
4219470DUS,Colonial Sd,
4219650DUS,Pottsgrove School District,
4219680DUS,Pottstown Sd,
4219860DUS,Quaker Valley Sd,
4219890DUS,Quakertown Community Sd,
4219920DUS,Radnor Township Sd,
4220040DUS,Reading Sd,
4220100DUS,Red Lion Area Sd,
4220550DUS,Rose Tree Media Sd,
4220580DUS,South Fayette Township Sd,
4220640DUS,Saint Marys Area Sd,
4220910DUS,Schuylkill Haven Area Sd,
4222060DUS,South Park Sd,
4222380DUS,Southern York County Sd,
4222400DUS,Southeast Delco Sd,
4222440DUS,Seneca Valley Sd,
4222590DUS,Spring Grove Area Sd,
4222600DUS,Springfield Sd,
4222620DUS,Springfield Township Sd,
4222790DUS,Steel Valley Sd,
4223010DUS,Susquehanna Township Sd,
4223040DUS,Susquenita Sd,
4223760DUS,Trinity Area Sd,1
4224210DUS,Unionville-chadds Ford Sd,
4224320DUS,Upper Darby Sd,
4224390DUS,Upper Dublin Sd,
4224480DUS,Upper Merion Area Sd,
4224510DUS,Upper Moreland Township Sd,
4224540DUS,Upper Perkiomen Sd,
4224790DUS,Wallingford-swarthmore Sd,
4224820DUS,Warren County Sd,
4224960DUS,Warwick Sd,
4225080DUS,Wattsburg Area Sd,
4225170DUS,Wellsboro Area Sd,
4225200DUS,West Allegheny Sd,
4225290DUS,West Chester Area School District,
4225590DUS,West Jefferson Hills Sd,1
4225830DUS,West Shore Sd,
4226390DUS,William Penn Sd,
4226850DUS,York Suburban Sd,
4289380DUS,Arin Intermediate Unit 28,
4400065DUS,Bristol Warren,
4400210DUS,Coventry,
4400240DUS,Cranston,
4400270DUS,Cumberland,
4400300DUS,East Greenwich,
4400360DUS,Exeter-West Greenwich,1
4400420DUS,Foster-Glocester,
4400540DUS,Johnston,
4400570DUS,Lincoln,
4400810DUS,North Smithfield,
4400870DUS,Portsmouth,
4400990DUS,Smithfield,
4401020DUS,South Kingstown,1
4401050DUS,Tiverton,
4500002DUS,Dorchester County School District 04,
4500810DUS,Anderson County School District 02,1
4500840DUS,Anderson County School District 03,
4500900DUS,Anderson County School District 05,1
4501020DUS,Barnwell County School District 19,
4501110DUS,Beaufort County School District,1
4501440DUS,Charleston County School District,
4502310DUS,Greenville County School District,
4502430DUS,Hampton 1 County School District,
4502520DUS,Jasper County School District,
4502610DUS,Laurens County School District 55,
4502700DUS,Lexington County School District 01,
4503360DUS,Richland County School District 01,
4503390DUS,Richland County School District 02,
4503840DUS,Clover School District,
4503900DUS,Fort Mill School District,
4700060DUS,Alcoa City School District,1
4700900DUS,Cumberland County School District,1
4701590DUS,Hamilton County School District,
4702190DUS,Kingsport City School District,1
4702400DUS,Lenoir City School District,1
4702700DUS,Maryville City School District,1
4703030DUS,Clarksville-Montgomery County Schools,1
4703240DUS,Oak Ridge Schools,
4800022DUS,Raul Yzaguirre School For Success,1
4807780DUS,Aledo ISD,
4807830DUS,Alief ISD,1
4807890DUS,Allen ISD,1
4808090DUS,Alvin Isd,1
4808100DUS,Alvord Isd,
4808310DUS,Angleton Isd,1
4808670DUS,Argyle ISD,
4808910DUS,Aubrey ISD,
4808940DUS,Austin ISD,
4809360DUS,Bandera Isd,
4809630DUS,Bay City Isd,
4810800DUS,Bonham Isd,
4812220DUS,Burnet CISD,
4812780DUS,Canutillo Isd,1
4812810DUS,Canyon ISD,1
4813020DUS,Carroll ISD,
4813170DUS,Castleberry ISD,1
4813230DUS,Cedar Hill ISD,1
4814280DUS,Clear Creek ISD,1
4814310DUS,Cleburne ISD,1
4814730DUS,Comal Isd,1
4814850DUS,Community Isd,1
4814970DUS,Connally Isd,
4815000DUS,Conroe ISD,
4815210DUS,Coppell ISD,
4815910DUS,Crowley ISD,1
4815930DUS,Crystal City ISD,1
4816410DUS,Dayton Isd,1
4816500DUS,Decatur Isd,
4816530DUS,Deer Park ISD,1
4816620DUS,Del Valle ISD,1
4816740DUS,Denton ISD,1
4816860DUS,Desoto ISD,
4817070DUS,Dickinson ISD,
4817390DUS,Donna Isd,
4817880DUS,East Chambers ISD,
4818280DUS,El Campo Isd,1
4818360DUS,Elgin ISD,1
